_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
1,N/A,3,15,N/A,4,4,03/20/2019,4,4,4,4,N/A,N/A,3,4,4,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4476608,77,3,987  KINGSTON RD ,4,4,19,4,1925,2018
2,4,7,64,4,4,4,03/06/2019,4,4,4,5,4,5,4,4,4,N/A,18,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4475546,82,4,763  WOODBINE AVE ,4,N/A,19,4,2016,2019
3,N/A,3,34,N/A,4,4,10/30/2019,3,3,4,4,N/A,5,4,4,4,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4252919,77,4,9  THIRTY THIRD ST ,3,N/A,03,4,1970,2017
4,N/A,4,15,N/A,4,4,02/12/2018,4,4,4,4,N/A,5,5,4,2,4,16,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4317594,79,3,3017 G  QUEEN ST E,4,N/A,20,4,1954,2018
5,3,29,554,4,4,4,12/03/2019,3,4,3,4,3,4,4,3,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4240826,72,5,240  WELLESLEY ST E,3,N/A,13,3,1968,2017
6,4,32,565,4,4,4,02/13/2019,3,4,4,4,4,4,4,4,4,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4240827,78,4,260  WELLESLEY ST E,4,4,13,3,1968,2017
7,3,4,27,N/A,4,4,03/07/2019,3,3,4,4,5,5,3,4,5,3,18,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4296586,73,4,699  EGLINTON AVE W,3,4,12,3,1950,2018
8,N/A,8,95,5,5,5,10/19/2017,5,4,4,4,5,5,4,5,5,N/A,17,5,5,PRIVATE,Evaluation needs to be conducted in 3 years,4242360,93,4,1544  DUNDAS ST W,4,N/A,09,5,2016,2017
9,N/A,6,67,4,3,5,10/30/2019,5,5,5,4,N/A,5,5,5,5,5,17,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4295059,91,5,2837  YONGE ST ,3,N/A,15,4,1930,2018
10,5,7,57,5,4,5,10/29/2019,5,4,4,4,4,5,4,5,5,5,20,5,5,TCHC,Evaluation needs to be conducted in 3 years,4286239,92,5,12  BROADWAY AVE ,5,3,15,5,1993,2017
11,N/A,4,50,4,4,4,01/03/2018,4,4,4,4,4,5,4,3,4,4,18,4,4,TCHC,Evaluation needs to be conducted in 2 years,4286252,79,3,585  KING ST E,4,N/A,13,4,1980,2017
12,N/A,4,41,4,4,4,10/30/2019,4,5,5,4,4,5,4,3,4,4,18,N/A,3,TCHC,Evaluation needs to be conducted in 3 years,4286261,81,5,2755  YONGE ST ,3,4,15,4,1990,2017
13,N/A,3,12,N/A,3,3,12/04/2019,3,4,4,3,N/A,5,2,3,3,3,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4279693,67,3,332  CHISHOLM AVE ,3,N/A,19,4,1952,2017
14,N/A,3,18,N/A,3,3,11/28/2019,3,3,3,4,N/A,5,4,3,3,N/A,14,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4327919,71,5,382  DOVERCOURT RD ,3,N/A,09,4,1960,2018
15,3,3,11,N/A,3,3,11/04/2019,4,3,3,5,N/A,5,5,4,4,3,17,N/A,5,PRIVATE,Evaluation needs to be conducted in 2 years,4285160,79,4,3  WINGREEN CRT ,4,4,16,5,1950,2018
16,N/A,3,20,N/A,4,4,03/01/2019,3,4,3,4,N/A,5,4,4,3,3,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4266442,74,4,125  KENILWORTH AVE ,4,N/A,19,3,1927,2017
17,N/A,3,28,N/A,4,3,03/08/2019,3,3,3,4,N/A,5,3,4,3,3,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4245700,71,5,26  BALMORAL AVE ,4,N/A,12,3,1930,2017
18,N/A,3,11,N/A,5,5,12/28/2018,4,4,4,5,N/A,5,5,5,5,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4261717,91,5,10  OAKBURN CRES ,5,4,18,4,1945,2017
19,N/A,3,11,N/A,4,4,11/18/2019,4,4,4,4,N/A,5,4,3,4,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4261719,78,4,12  OAKBURN CRES ,4,3,18,4,1945,2017
20,3,6,22,3,3,3,01/22/2019,3,3,2,3,3,4,3,3,4,3,18,N/A,3,TCHC,Evaluation needs to be conducted in 1 year,4268876,63,4,81  GILDER DR ,3,N/A,21,4,1980,2017
21,N/A,3,16,N/A,4,3,12/11/2017,4,3,3,4,N/A,4,2,3,3,4,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4264078,67,3,6  KINGSTON RD ,4,N/A,19,3,1970,2017
22,N/A,4,32,N/A,3,3,11/28/2019,4,3,4,2,N/A,5,3,4,3,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4250596,67,5,18  TICHESTER RD ,3,2,12,3,1938,2017
23,N/A,4,32,N/A,4,3,03/13/2019,4,4,4,2,N/A,5,5,3,4,3,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4250600,76,5,22  TICHESTER RD ,4,N/A,12,3,1938,2017
24,4,13,152,4,4,4,11/28/2019,4,4,4,3,N/A,5,4,4,4,3,19,5,3,PRIVATE,Evaluation needs to be conducted in 2 years,4250636,79,5,111  LAWTON BLVD ,3,5,12,3,1957,2019
25,N/A,4,38,N/A,5,4,02/15/2019,4,4,4,4,N/A,5,5,5,5,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4290978,89,5,2305  LAKE SHORE BLVD W,5,N/A,03,4,1957,2017
26,N/A,3,11,N/A,3,3,11/18/2019,5,3,3,3,N/A,5,3,3,3,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4329035,69,4,14  ROSSEAU RD ,3,3,06,4,1949,2018
